lat,lon,river_distance
21.7220402,70.4443401,263386.1199313748
21.7220402,70.6943401,236629.16176819362
21.9720402,69.9443401,319245.45523534017
21.9720402,70.1943401,298856.8362087025
21.9720402,70.4443401,272740.750432493
21.9720402,70.6943401,246999.2489322444
21.2718836,71.6416449,121900.6909229585
21.2718836,71.8916449,94336.67576330426
21.2718836,72.1416449,66992.85013683184
21.2718836,72.3916449,40319.71197380496
21.5218836,71.6416449,128984.63449512707
21.5218836,71.8916449,103327.953054426
21.5218836,72.1416449,79153.64462741357
21.5218836,72.3916449,56415.66881524929
21.7718836,71.6416449,142157.6705700887
21.7718836,71.8916449,119348.58629285824
21.7718836,72.1416449,96847.89129430684
21.7718836,72.3916449,77871.34694490203
22.0218836,71.6416449,144234.48785769922
22.0218836,71.8916449,117200.34928005667
22.0218836,72.1416449,90649.10305111027
22.0218836,72.3916449,65173.62599536521
21.3926077,69.9972555,305453.438392382
21.3926077,70.2472555,277763.87882732926
21.3926077,70.4972555,250105.46848377184
21.3926077,70.7472555,222489.8244382864
21.6426077,69.9972555,309749.02917290566
21.6426077,70.2472555,282480.8496677821
21.6426077,70.4972555,255333.90572604304
21.6426077,70.7472555,228351.43972922166
21.8926077,69.9972555,316837.7279473819
21.8926077,70.2472555,290236.309248746
21.8926077,70.4972555,263888.4010156897
21.8926077,70.7472555,237878.2562650693
22.1426077,69.9972555,308500.5014318176
22.1426077,70.2472555,296568.84717175923
22.1426077,70.4972555,268785.71117953496
22.1426077,70.7472555,241013.35976372598
21.4907832,72.3706259,56294.128950291044
21.4907832,72.6206259,35668.34984751686
21.4907832,72.8706259,25398.881610474586
21.4907832,73.1206259,24192.317446387322
21.7407832,72.3706259,76332.48642548684
21.7407832,72.6206259,56918.082734580465
21.7407832,72.8706259,29108.593635603946
21.7407832,73.1206259,1988.9528687459965
21.9907832,72.3706259,69037.06505842986
21.9907832,72.6206259,47066.20436160393
21.9907832,72.8706259,34414.2417990517
21.9907832,73.1206259,14396.982240385838
22.2407832,72.3706259,59918.185715595726
22.2407832,72.6206259,32238.179548091863
22.2407832,72.8706259,6116.787597299808
22.2407832,73.1206259,11969.902179350775
21.5523055,72.6216703,41892.246452445215
21.5523055,72.8716703,31983.956274572764
21.5523055,73.1216703,24156.65964418003
21.5523055,73.3716703,32568.113446006377
21.8023055,72.6216703,57077.7178756268
21.8023055,72.8716703,29529.29184236595
21.8023055,73.1216703,3246.504257309024
21.8023055,73.3716703,10745.913907825206
22.0523055,72.6216703,41848.326735084636
22.0523055,72.8716703,27493.06163419545
22.0523055,73.1216703,19165.04858861993
22.0523055,73.3716703,11242.222765524195
22.3023055,72.6216703,31926.146753182515
22.3023055,72.8716703,4858.275111789614
22.3023055,73.1216703,8891.561301592388
22.3023055,73.3716703,36415.29375816424
21.6518623,71.3957058,160139.06707707164
21.6518623,71.6457058,134760.1889187854
21.6518623,71.8957058,110567.17351613817
21.6518623,72.1457058,87781.84146923151
21.9018623,71.3957058,173646.1453456429
21.9018623,71.6457058,147556.92783738545
21.9018623,71.8957058,121369.44727544411
21.9018623,72.1457058,96109.53199290606
22.1518623,71.3957058,168961.6178156701
22.1518623,71.6457058,141267.5491583924
22.1518623,71.8957058,113639.85315178051
22.1518623,72.1457058,86142.41482746386
