lat,lon,elevation
20.702407,73.1823831,62
20.952407,72.4323831,-13
20.952407,72.6823831,-5
20.952407,72.9323831,18
20.952407,73.1823831,41
21.202407,72.4323831,-11
21.202407,72.6823831,4
21.202407,72.9323831,19
21.202407,73.1823831,34
20.538617,70.9438845,0
20.538617,71.1938845,0
20.538617,71.4438845,0
20.538617,71.6938845,0
20.788617,70.9438845,0
20.788617,71.1938845,0
20.788617,71.4438845,0
20.788617,71.6938845,0
21.038617,70.9438845,0
21.038617,71.1938845,0
21.038617,71.4438845,0
21.038617,71.6938845,0
21.288617,70.9438845,0
21.288617,71.1938845,0
21.288617,71.4438845,0
21.288617,71.6938845,0
20.5914409,71.2621979,0
20.5914409,71.5121979,0
20.5914409,71.7621979,0
20.5914409,72.0121979,-21
20.8414409,71.2621979,0
20.8414409,71.5121979,0
20.8414409,71.7621979,0
20.8414409,72.0121979,-14
21.0914409,71.2621979,0
21.0914409,71.5121979,0
21.0914409,71.7621979,0
21.0914409,72.0121979,-4
21.3414409,71.2621979,0
21.3414409,71.5121979,0
21.3414409,71.7621979,0
21.3414409,72.0121979,46
20.5488646,72.7615399,-10
20.5488646,73.0115399,38
20.5488646,73.2615399,159
20.5488646,73.5115399,453
20.7988646,72.7615399,-6
20.7988646,73.0115399,9
20.7988646,73.2615399,71
20.7988646,73.5115399,184
21.0488646,72.7615399,1
21.0488646,73.0115399,19
21.0488646,73.2615399,61
21.0488646,73.5115399,120
21.2988646,72.7615399,8
21.2988646,73.0115399,25
21.2988646,73.2615399,55
21.2988646,73.5115399,165
20.6176744,72.8857702,0
20.6176744,73.1357702,59
20.6176744,73.3857702,195
20.6176744,73.6357702,385
20.8676744,72.8857702,5
20.8676744,73.1357702,38
20.8676744,73.3857702,189
20.8676744,73.6357702,234
21.1176744,72.8857702,9
21.1176744,73.1357702,31
21.1176744,73.3857702,94
21.1176744,73.6357702,215
21.3676744,72.8857702,15
21.3676744,73.1357702,34
21.3676744,73.3857702,151
21.3676744,73.6357702,310
20.6241507,69.6199203,0
20.6241507,69.8699203,0
20.6241507,70.1199203,0
20.6241507,70.3699203,0
20.8741507,69.6199203,0
20.8741507,69.8699203,0
20.8741507,70.1199203,0
20.8741507,70.3699203,0
21.1241507,69.6199203,0
21.1241507,69.8699203,0
21.1241507,70.1199203,0
21.1241507,70.3699203,0
21.3741507,69.6199203,0
21.3741507,69.8699203,0
21.3741507,70.1199203,0
21.3741507,70.3699203,0
20.6702124,73.0622874,23
20.6702124,73.3122874,160
20.6702124,73.5622874,307
20.6702124,73.8122874,752
20.9202124,73.0622874,29
20.9202124,73.3122874,76
20.9202124,73.5622874,235
20.9202124,73.8122874,475
21.1702124,73.0622874,27
21.1702124,73.3122874,62
21.1702124,73.5622874,119
21.1702124,73.8122874,140
21.4202124,73.0622874,27
21.4202124,73.3122874,110
21.4202124,73.5622874,273
21.4202124,73.8122874,96
20.8232985,69.9425757,0
20.8232985,70.1925757,0
20.8232985,70.4425757,0
20.8232985,70.6925757,0
21.0732985,69.9425757,0
21.0732985,70.1925757,0
21.0732985,70.4425757,0
21.0732985,70.6925757,0
21.3232985,69.9425757,0
21.3232985,70.1925757,0
21.3232985,70.4425757,0
21.3232985,70.6925757,0
21.5732985,69.9425757,0
21.5732985,70.1925757,0
21.5732985,70.4425757,0
21.5732985,70.6925757,0
20.8417058,70.2534299,0
20.8417058,70.5034299,0
20.8417058,70.7534299,0
20.8417058,71.0034299,0
21.0917058,70.2534299,0
21.0917058,70.5034299,0
21.0917058,70.7534299,0
21.0917058,71.0034299,0
21.3417058,70.2534299,0
21.3417058,70.5034299,0
21.3417058,70.7534299,0
21.3417058,71.0034299,0
21.5917058,70.2534299,0
21.5917058,70.5034299,0
21.5917058,70.7534299,0
21.5917058,71.0034299,0
20.8545788,71.5368814,0
20.8545788,71.7868814,0
20.8545788,72.0368814,-15
20.8545788,72.2868814,-16
21.1045788,71.5368814,0
21.1045788,71.7868814,0
21.1045788,72.0368814,-2
21.1045788,72.2868814,-12
21.3545788,71.5368814,0
21.3545788,71.7868814,0
21.3545788,72.0368814,28
21.3545788,72.2868814,-13
21.6045788,71.5368814,0
21.6045788,71.7868814,0
21.6045788,72.0368814,111
21.6045788,72.2868814,14
20.9563995,72.9757224,13
20.9563995,73.2257224,50
20.9563995,73.4757224,113
20.9563995,73.7257224,330
21.2063995,72.9757224,23
21.2063995,73.2257224,41
21.2063995,73.4757224,91
21.2063995,73.7257224,96
21.4563995,72.9757224,19
21.4563995,73.2257224,61
21.4563995,73.4757224,220
21.4563995,73.7257224,169
21.7063995,72.9757224,16
21.7063995,73.2257224,59
21.7063995,73.4757224,133
21.7063995,73.7257224,329
21.0236104,71.3219597,0
21.0236104,71.5719597,0
21.0236104,71.8219597,0
21.0236104,72.0719597,-9
21.2736104,71.3219597,0
21.2736104,71.5719597,0
21.2736104,71.8219597,0
21.2736104,72.0719597,10
21.5236104,71.3219597,0
21.5236104,71.5719597,0
21.5236104,71.8219597,0
21.5236104,72.0719597,102
21.7736104,71.3219597,0
21.7736104,71.5719597,0
21.7736104,71.8219597,0
21.7736104,72.0719597,16
21.1271369,73.0898076,30
21.1271369,73.3398076,69
21.1271369,73.5898076,156
21.1271369,73.8398076,172
21.3771369,73.0898076,48
21.3771369,73.3398076,81
21.3771369,73.5898076,294
21.3771369,73.8398076,97
21.6271369,73.0898076,27
21.6271369,73.3398076,119
21.6271369,73.5898076,181
21.6271369,73.8398076,508
21.8771369,73.0898076,22
21.8771369,73.3398076,9
21.8771369,73.5898076,50
21.8771369,73.8398076,192
21.1395746,72.8661964,12
21.1395746,73.1161964,32
21.1395746,73.3661964,77
21.1395746,73.6161964,171
21.3895746,72.8661964,12
21.3895746,73.1161964,45
21.3895746,73.3661964,90
21.3895746,73.6161964,301
21.6395746,72.8661964,8
21.6395746,73.1161964,31
21.6395746,73.3661964,128
21.6395746,73.6161964,189
21.8895746,72.8661964,13
21.8895746,73.1161964,24
21.8895746,73.3661964,28
21.8895746,73.6161964,39
21.1029751,69.3538067,0
21.1029751,69.6038067,0
21.1029751,69.8538067,0
21.1029751,70.1038067,0
21.3529751,69.3538067,0
21.3529751,69.6038067,0
21.3529751,69.8538067,0
21.3529751,70.1038067,0
21.6029751,69.3538067,0
21.6029751,69.6038067,0
21.6029751,69.8538067,0
21.6029751,70.1038067,0
21.8529751,69.3538067,0
21.8529751,69.6038067,0
21.8529751,69.8538067,0
21.8529751,70.1038067,0
21.224718,70.8899959,0
21.224718,71.1399959,0
21.224718,71.3899959,0
21.224718,71.6399959,0
21.474718,70.8899959,0
21.474718,71.1399959,0
21.474718,71.3899959,0
21.474718,71.6399959,0
21.724718,70.8899959,0
21.724718,71.1399959,0
21.724718,71.3899959,0
21.724718,71.6399959,0
21.974718,70.8899959,0
21.974718,71.1399959,0
21.974718,71.3899959,0
21.974718,71.6399959,0
21.220494,71.4605587,0
21.220494,71.7105587,0
21.220494,71.9605587,0
21.220494,72.2105587,-12
21.470494,71.4605587,0
21.470494,71.7105587,0
21.470494,71.9605587,0
21.470494,72.2105587,31
21.720494,71.4605587,0
